date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:58:11	1155/1155	---M--	200	added ('OK')	image/png	date:Tue,%2015%20May%202018%2022:27:00%20GMT	http://www.pof-1.com/oslo/heading.img?color=0033bb&text=000000&accent=bbbbbb&compliment=7e9dd5&navigation=000000&heading=000000&title=000000&logo=ffffff&link=000000&title.text=WE+ARE+A+DIRECT+LENDER&font=Zurich&fontsize=32&stage.width.max=170&stagecolor=ffffff&width=170&cache=1521468389141	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/oslo/headinge682.png	(from http://www.pof-1.com/)
01:58:11	22096/22096	---M-Z	200	added ('OK')	text/css	etag:1527113584279	http://www.pof-1.com/server-css/layout.css?cache=2002406006	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/server-css/layout4905.css	(from http://www.pof-1.com/sitemap)
01:58:12	9197/9197	---M-Z	200	added ('OK')	application/x-javascript	etag:1470679646000	http://www.pof-1.com/server/js/table.js?cache=1470679646000	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/server/js/tabled957.js	(from http://www.pof-1.com/sitemap)
01:58:12	12547/12547	---M-Z	200	added ('OK')	application/x-javascript	etag:1470679646000	http://www.pof-1.com/server/js/expand.js?cache=1470679646000	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/server/js/expandd957.js	(from http://www.pof-1.com/sitemap)
01:58:12	1998/1998	---M--	200	added ('OK')	image/png	date:Fri,%2025%20May%202018%2020:10:37%20GMT	http://www.pof-1.com/oslo/tabitem.img?color=0033bb&text=000000&accent=bbbbbb&compliment=7e9dd5&navigation=000000&heading=000000&title=000000&logo=ffffff&link=000000&frame.fill.gradient.start.color=dfe6f8&frame.fill.gradient.end.color=b2c2ee&border.fill.color=001141&width=200&label.text=PROOF+OF+FUNDS+-+HOME&context.state=ndd&font=Zurich&fontsize=11&cache=1521468389141	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/oslo/tabitemb98d.png	(from http://www.pof-1.com/sitemap)
01:58:12	1230/1230	---M--	200	added ('OK')	image/png	date:Mon,%2021%20May%202018%2020:42:39%20GMT	http://www.pof-1.com/oslo/tabitem.img?color=0033bb&text=000000&accent=bbbbbb&compliment=7e9dd5&navigation=000000&heading=000000&title=000000&logo=ffffff&link=000000&frame.fill.gradient.start.color=dfe6f8&frame.fill.gradient.end.color=b2c2ee&border.fill.color=001141&width=200&label.text=APPLY+HERE&context.state=ddd&font=Zurich&fontsize=11&cache=1521468389141	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/oslo/tabitem9126.png	(from http://www.pof-1.com/sitemap)
01:58:12	14877/14877	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2006:58:15%20GMT	http://www.pof-1.com/page/173180	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/page/173180.html	(from http://www.pof-1.com/sitemap)
01:58:13	18615/18615	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2006:58:15%20GMT	http://www.pof-1.com/page/374493	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/page/374493.html	(from http://www.pof-1.com/sitemap)
01:58:13	18932/18932	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2006:58:15%20GMT	http://www.pof-1.com/page/376066	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/page/376066.html	(from http://www.pof-1.com/sitemap)
01:58:13	18085/18085	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2006:58:15%20GMT	http://www.pof-1.com/search	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/search.html	(from http://www.pof-1.com/sitemap)
01:58:13	16027/16027	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2006:58:15%20GMT	http://www.pof-1.com/cart	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/cart.html	(from http://www.pof-1.com/sitemap)
01:58:14	11600/11600	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2006:58:16%20GMT	http://www.pof-1.com/page/482287596	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/page/482287596.html	(from http://www.pof-1.com/sitemap)
01:58:14	11599/11599	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2006:58:16%20GMT	http://www.pof-1.com/page/482287598	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/page/482287598.html	(from http://www.pof-1.com/sitemap)
01:58:14	14370/14370	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2006:58:16%20GMT	http://www.pof-1.com/page/482375680	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/page/482375680.html	(from http://www.pof-1.com/sitemap)
